OBJECTID,code,name,graphic0,graphic1,graphic2,graphic3
1,E09000001,City of London,681,7,150,342
2,E09000002,Barking and Dagenham,74,1,6,63
3,E09000003,Barnet,650,13,9,724
4,E09000004,Bexley,90,3,2,51
5,E09000005,Brent,369,9,24,262
6,E09000006,Bromley,181,2,2,130
7,E09000007,Camden,1122,63,33,1161
8,E09000008,Croydon,381,3,8,201
9,E09000009,Ealing,554,5,6,319
10,E09000010,Enfield,185,10,7,148
11,E09000011,Greenwich,240,7,1,148
12,E09000012,Hackney,327,2,6,286
13,E09000013,Hammersmith and Fulham,746,17,23,756
14,E09000014,Haringey,346,1,5,262
15,E09000015,Harrow,238,3,11,167
16,E09000016,Havering,142,2,6,59
17,E09000017,Hillingdon,249,1,15,141
18,E09000018,Hounslow,996,5,15,229
19,E09000019,Islington,659,6,22,440
20,E09000020,Kensington and Chelsea,2961,113,140,3527
21,E09000021,Kingston upon Thames,242,1,5,133
22,E09000022,Lambeth,1131,11,20,476
23,E09000023,Lewisham,319,3,4,141
24,E09000024,Merton,270,10,6,177
25,E09000025,Newham,343,5,23,173
26,E09000026,Redbridge,165,3,27,85
27,E09000027,Richmond upon Thames,255,10,13,234
28,E09000028,Southwark,492,7,26,416
29,E09000029,Sutton,138,3,6,77
30,E09000030,Tower Hamlets,1002,14,32,844
31,E09000031,Waltham Forest,169,5,11,94
32,E09000032,Wandsworth,1079,21,17,776
33,E09000033,Westminster,6903,174,243,5817
